filepath,objective,dm,x,y
E:/matt/olympus/DM_offset_data/20200102/60x_DM123_500nm_beads_0004.oir,60x,dm2,0.069053396600248,0.897694155803224
E:/matt/olympus/DM_offset_data/20200102/60x_DM123_500nm_beads_0004.oir,60x,dm3,-0.207160189800744,0.414320379601488
E:/matt/olympus/DM_offset_data/20200102/60x_DM145_500nm_beads.oir,60x,dm4,-0.483373776201736,-0.966747552403472
E:/matt/olympus/DM_offset_data/20200102/60x_DM145_500nm_beads.oir,60x,dm5,-0.414320379601488,-0.828640759202976
E:/matt/olympus/DM_offset_data/20200102/60x_DM145_500nm_beads_0001.oir,60x,dm4,-0.483373776201736,-0.966747552403472
E:/matt/olympus/DM_offset_data/20200102/60x_DM145_500nm_beads_0001.oir,60x,dm5,-0.414320379601488,-0.828640759202976
E:/matt/olympus/DM_offset_data/20200102/60x_DM145_500nm_beads_0002.oir,60x,dm4,-0.483373776201736,-0.966747552403472
E:/matt/olympus/DM_offset_data/20200102/60x_DM145_500nm_beads_0002.oir,60x,dm5,-0.414320379601488,-0.828640759202976
E:/matt/olympus/DM_offset_data/20200102/60x_DM145_500nm_beads_0003.oir,60x,dm4,-0.483373776201736,-0.966747552403472
E:/matt/olympus/DM_offset_data/20200102/60x_DM145_500nm_beads_0003.oir,60x,dm5,-0.414320379601488,-0.828640759202976
E:/matt/olympus/DM_offset_data/20200102/60x_DM145_500nm_beads_0004.oir,60x,dm4,-0.483373776201736,-0.966747552403472
E:/matt/olympus/DM_offset_data/20200102/60x_DM145_500nm_beads_0004.oir,60x,dm5,-0.414320379601488,-0.828640759202976
